Reaction,Min,Max
2AGPEAT160,3.510702785898788e-08,0.1070823810906233
2AGPEAT180,3.51070278597853e-08,0.1215822051268484
AACPS10,1.296893850666071e-07,0.0005946396323561
AACPS11,5.00465427044177e-05,0.3317028547914937
AACPS3,6.268413072980281e-05,0.0901492195433356
ABTA,5.310618505186506e-07,0.2018923401164144
ACACT1r,7.499918871455324e-14,2.823714735475304e-08
ACALDi,1.6778037287953955e-06,0.8100429265311275
ACBIPGT,-2.330733584203216e-14,3.921979883561677e-13
ACCC,9.943872676264673e-08,0.0004559371446075
ACChex,9.943872676297217e-08,0.0004559371447096
ACGAMPM,-0.4014909139828053,-5.413403924421052e-07
ACGAMT,1.5423890097402204e-09,7.072017754054435e-06
ACGK,6.273386332900552e-07,0.2660086225329924
ACHBS,0.0004099420115428,0.1582908088058696
ACKr,0.0002783767109814,0.3981810066871222
ACLS,0.010788548100963,0.8199253609881197
ACONT,0.3926715787864549,1.1948539814140773
ACOTA,-0.2660086225329936,-6.273386332743467e-07
ACP1_FMN,7.021405571951846e-08,0.1904076992911621
ACS,1.875634231784076e-08,0.0923699328912921
ACS2,0.0,0.0
ACYSBMNt,-9.68581322700201e-14,2.7261082539384133e-14
ADA,4.147324997527951e-08,0.0956783357556469
ADCL,1.1718710637150585e-08,0.0308039046716766
ADCPS1,0.0,0.0
ADCS,1.1718710637090396e-08,0.0308039046716766
ADCYRS,-2.306774093668683e-14,4.009865953537171e-13
ADK1,-973.7049933614256,-0.368298888924869
ADK2,0.9548896941884276,974.1623056144564
ADNCYC,3.5107027859716065e-08,0.1059764706086306
ADNK1,2.9638664733219915e-06,0.2355231773963702
ADNK3,3.9688017403970493e-08,0.1818386111789381
ADNK4,7.021405571982657e-08,0.2229882837234112
ADOCBIK,-2.330733584203216e-14,3.921979883561678e-13
ADOCBLS,-2.330733584203216e-14,3.921979883561676e-13
ADPT,2.289890245128324e-07,0.0769768078839413
ADSK,1.2815098145228606e-07,0.2115461626256273
ADSL1r,1.5100916473877158e-06,0.1814513974007496
ADSL2r,9.055245154595516e-07,0.0136795465761744
ADSS,1.5100916469695763e-06,0.1814513974006595
AFTA,1.5423890097402796e-09,7.072017754050507e-06
AGDC,5.413403873605966e-07,0.4014909139827934
AGPAT160,6.266721106201722e-05,0.0725382803488616
AGPAT160190,7.813434667536609e-08,0.0003582542947332
AGPAT190,2.5777519195618232e-08,0.0001181926688114
AGPR,-0.2660086225329933,-6.273386332894141e-07
AHC,3.484315482535381e-06,0.1162087820428479
AHMMPS,1.6879770284399572e-09,7.739554313610398e-06
AICART,2.086571846511324e-06,0.0318240988174307
AIRCr,9.055245154595248e-07,0.0136795465761752
AKGDb,9.437747064268283e-08,0.3031023388277514
ALAALAD,3.510702785977916e-08,0.1803419630284935
ALAALAr,1.230485210703925e-07,0.1805638033970308
ALAD_L,1.5067770153478195e-05,0.8059687478038747
ALAR,0.0001161687179876,0.3742815878015852
ALAt2r,-0.2746558494524611,-4.433215802885325e-08
ALDD1,-5.5760102983412055e-14,5.5401713735964926e-14
ALDD19x,2.7129199526585992e-08,0.0333381652525959
